2008-07-13 15:13:10 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:13:12 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:13:12 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:13:40 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:13:40 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:13:47 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:13:47 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:16:45 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:16:45 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:16:45 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:16:47 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:16:47 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:17:20 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:17:20 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:17:20 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:17:21 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:17:21 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:17:52 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:17:52 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:27:58 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:27:58 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:33:26 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:33:26 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:39:56 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:39:56 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:41:43 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:41:43 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:49:47 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:49:47 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
